Total signal evaluations on June 26: 210

Time (UTC)           | Coin | Sent | Sent Score | Conf   | Source          | Missed Reason        | Matched Event                                     
2026-06-26 03:05:30  | XRP  | DOWN | 0.7747     | 0.7747 | EnsembleML      | N/A                  | XRP Up or Down - June 25, 11:05PM-11:10PM ET      
2026-06-26 03:30:27  | BTC  | DOWN | 0.7699     | 0.7699 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 03:45:25  | BTC  | UP   | 0.9336     | 0.9336 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 03:55:08  | BTC  | DOWN | 0.8000     | 0.8000 | EnsembleML      | N/A                  | Bitcoin Up or Down - June 25, 11:55PM-12:00AM ET  
2026-06-26 04:00:09  | ETH  | DOWN | 0.7467     | 0.7467 | EnsembleML      | N/A                  | Ethereum Up or Down - June 26, 12:00AM-12:05AM ET 
2026-06-26 04:00:09  | BTC  | DOWN | 0.8767     | 0.8767 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 04:00:09  | DOGE | DOWN | 0.8800     | 0.8800 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 04:00:09  | SOL  | DOWN | 0.8267     | 0.8267 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 04:00:10  | XRP  | DOWN | 0.7467     | 0.7467 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 04:10:22  | DOGE | DOWN | 0.7500     | 0.7500 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 04:10:23  | BTC  | DOWN | 0.7467     | 0.7467 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 04:10:23  | ETH  | DOWN | 0.8567     | 0.8567 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 04:20:12  | BTC  | DOWN | 0.9567     | 0.9567 | EnsembleML      | N/A                  | Bitcoin Up or Down - June 26, 12:20AM-12:25AM ET  
2026-06-26 04:25:11  | BTC  | DOWN | 0.7767     | 0.7767 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 04:30:09  | BTC  | DOWN | 0.6967     | 0.6967 | EnsembleML      | N/A                  | Bitcoin Up or Down - June 26, 12:30AM-12:35AM ET  
2026-06-26 04:30:09  | DOGE | DOWN | 0.8800     | 0.8800 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 04:30:17  | ETH  | DOWN | 0.7767     | 0.7767 | EnsembleML      | N/A                  | Ethereum Up or Down - June 26, 12:30AM-12:35AM ET 
2026-06-26 04:30:17  | SOL  | DOWN | 0.8767     | 0.8767 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 04:40:32  | SOL  | DOWN | 0.6767     | 0.6767 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 04:45:24  | SOL  | DOWN | 0.8067     | 0.8067 | EnsembleML      | N/A                  | Solana Up or Down - June 26, 12:45AM-12:50AM ET   
2026-06-26 05:30:20  | ETH  | UP   | 0.9503     | 0.9503 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 05:30:20  | ETH  | UP   | 1.0000     | 1.0000 | EnsembleML      | N/A                  | Ethereum Up or Down - June 26, 1:30AM-1:45AM ET   
2026-06-26 05:35:24  | ETH  | DOWN | 0.6487     | 0.6487 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 05:40:17  | ETH  | DOWN | 0.7845     | 0.7845 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 06:35:32  | XRP  | UP   | 0.8378     | 0.8378 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 06:45:09  | ETH  | DOWN | 0.7981     | 0.7981 | EnsembleML      | N/A                  | Ethereum Up or Down - June 26, 2:45AM-3:00AM ET   
2026-06-26 06:45:32  | XRP  | DOWN | 0.7653     | 0.7653 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 06:45:34  | XRP  | DOWN | 0.8201     | 0.8201 | EnsembleML      | N/A                  | XRP Up or Down - June 26, 2:45AM-3:00AM ET        
2026-06-26 07:00:09  | SOL  | DOWN | 0.9067     | 0.9067 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 07:10:08  | XRP  | DOWN | 0.8500     | 0.8500 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 07:10:17  | SOL  | DOWN | 0.7467     | 0.7467 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 07:15:09  | ETH  | DOWN | 0.7200     | 0.7200 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 07:15:09  | SOL  | DOWN | 0.8767     | 0.8767 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 07:15:09  | BTC  | DOWN | 0.8767     | 0.8767 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 07:15:10  | XRP  | DOWN | 0.7200     | 0.7200 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 07:20:08  | BTC  | DOWN | 0.9067     | 0.9067 | EnsembleML      | N/A                  | Bitcoin Up or Down - June 26, 3:20AM-3:25AM ET    
2026-06-26 07:20:09  | XRP  | DOWN | 0.9300     | 0.9300 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 07:20:16  | ETH  | DOWN | 0.8000     | 0.8000 | EnsembleML      | N/A                  | Ethereum Up or Down - June 26, 3:20AM-3:25AM ET   
2026-06-26 07:20:17  | SOL  | DOWN | 0.7967     | 0.7967 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 07:25:08  | ETH  | DOWN | 0.8500     | 0.8500 | EnsembleML      | N/A                  | Ethereum Up or Down - June 26, 3:25AM-3:30AM ET   
2026-06-26 07:25:09  | BTC  | DOWN | 0.8767     | 0.8767 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 07:25:09  | SOL  | DOWN | 0.8767     | 0.8767 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 07:25:09  | XRP  | DOWN | 0.8500     | 0.8500 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 07:30:09  | SOL  | DOWN | 0.7467     | 0.7467 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 07:30:15  | ETH  | DOWN | 0.6700     | 0.6700 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 07:35:16  | ETH  | DOWN | 0.7200     | 0.7200 | EnsembleML      | N/A                  | Ethereum Up or Down - June 26, 3:35AM-3:40AM ET   
